date,SNOW,SNWD,TAVG,SNOW_STD,SNWD_STD,TAVG_STD,date
2018-12-15,0.8857262897266316,12.275755225931459,-4.920126705653023,1.362844911636335,6.828422807053948,4.880019813510671,2018-12-15
2018-12-16,0.9490220290750025,12.834855173602836,-5.08216374269006,1.4152675454654302,8.253374893675185,4.865153326434223,2018-12-16
2018-12-17,1.048395248448222,13.236365377684468,-5.323830409356727,1.5318798079130695,8.451981079687414,4.845597647503236,2018-12-17
2018-12-18,1.087847744422457,13.6231141236945,-5.404385964912283,1.5825612696407554,8.662577409075835,4.74018614533057,2018-12-18
2018-12-19,1.081842806150852,14.000590679534225,-5.3756822612085795,1.5680765135180124,8.82595743370726,4.65494879006934,2018-12-19
2018-12-20,1.1040618537698996,14.452440324924298,-5.298830409356727,1.5975325458281975,9.012749690852043,4.561250817799406,2018-12-20
2018-12-21,1.1348951871032331,14.893644973450375,-5.172904483430801,1.616803682017391,9.14481516491458,4.3522481571352465,2018-12-21
2018-12-22,1.1729464691545153,15.358955430966715,-5.109015594541912,1.7103662434325966,9.357201831317736,4.235698592897264,2018-12-22
2018-12-23,1.3477480564561024,15.8537186695955,-5.15716374269006,1.8696760666286802,9.601341271249419,4.158338041483927,2018-12-23
2018-12-24,1.2928762615843077,16.316700695739293,-5.200682261208579,1.780053286512993,9.820451403585585,3.953121261168623,2018-12-24
2018-12-25,1.385819118727165,16.812934029072625,-5.314571150097467,1.8821129114388484,10.013246229766684,3.8087969294378268,2018-12-25
2018-12-26,1.4051975776458538,17.36173141469354,-5.559941520467837,1.887850387070743,10.283082970429186,3.8344020923216733,2018-12-26
2018-12-27,1.4390803615286378,17.89799437159479,-5.912719298245616,1.9197057014001513,10.508136777353737,3.9727382819654644,2018-12-27
2018-12-28,1.3906852998002428,18.32287770492813,-6.1904970760233935,1.842761846821447,10.660009623371032,4.060395510722801,2018-12-28
2018-12-29,1.287114549562826,18.7258794056084,-6.222222222222224,1.7275785990962698,10.806855438257893,4.093171971451429,2018-12-29
2018-12-30,1.233436388643286,19.088650647438463,-6.189814814814816,1.6755093661060099,10.954302941528885,4.192880032749567,2018-12-30
2018-12-31,1.1952344181999364,19.182073776690164,-6.400925925925928,1.656854103266536,9.786796785570903,4.308924006534167,2018-12-31
2019-01-01,1.1092241617896799,19.418536361724176,-6.534259259259261,1.5626730356698488,9.854441765666541,4.3975207543922865,2019-01-01
2019-01-02,1.0427426803081985,19.625763252480475,-6.631932573599242,1.4806109046325546,9.909521596682728,4.424441613784897,2019-01-02
2019-01-03,1.0487065929387778,19.873880899539298,-6.6836657169990525,1.5207503599967298,10.004974077536653,4.3893276962744245,2019-01-03
2019-01-04,1.085135164367349,20.133773709996817,-6.792070275403611,1.5418834193977529,10.08032328949178,4.354971500271119,2019-01-04
2019-01-05,1.1131907199229045,20.41131906147074,-6.882811016144351,1.6618700175558394,10.179731744617813,4.488039897392256,2019-01-05
2019-01-06,1.0396907199229044,20.786464159509954,-6.927255460588796,1.5139012752573149,11.31401873205353,4.621226069144749,2019-01-06
2019-01-07,0.9783002437324284,20.971431479771393,-6.838841405508075,1.5169825047058099,11.280101117507543,4.621593485485553,2019-01-07
